 Average of Dew PointC ,Volume Share of Category
5,0.048795999
0.285714286,0.061189137
7.285714286,0.06590841
6.2,0.067562948
8.571428571,0.053593443
6.142857143,0.066669919
7.142857143,0.065996175
6.4,0.065082988
10.28571429,0.057282368
10.85714286,0.062322435
11.14285714,0.05342817
11.85714286,0.056951536
14,0.046904701
9.571428571,0.0547344
7.714285714,0.059111999
12,0.056537442
12.66666667,0.052751468
13.14285714,0.045443609
13.85714286,0.04627586
13.42857143,0.054291721
14.5,0.044319945
14,0.051159364
14.42857143,0.049027228
14.57142857,0.046218085
16.42857143,0.050484014
17,0.043093045
17.28571429,0.035243396
15.85714286,0.048003048
16.42857143,0.046629879
14.25,0.048430197
14.14285714,0.047122459
15.85714286,0.049169749
15.57142857,0.050981316
16.85714286,0.050397231
18.28571429,0.042740773
16.42857143,0.051403259
16.28571429,0.044919017
12.57142857,0.054903639
14.5,0.048839849
12.71428571,0.05318462
11.57142857,0.054391875
13.57142857,0.05395394
11.8,0.053722686
11.57142857,0.053639937
12.85714286,0.056670954
12,0.056583395
9.714285714,0.053300212
6.857142857,0.059291198
4.428571429,0.064995549
8.571428571,0.056873375
6,0.048112425
9.333333333,0.050557541
9.142857143,0.046605486
3.857142857,0.062643528
9.857142857,0.057423504
12,0.062548519
9,0.053611158
11.14285714,0.065986346
11.71428571,0.048155762
12.83333333,0.050662541
12.28571429,0.063957555
11.57142857,0.059625126
12.14285714,0.050721636
11.71428571,0.048795396
11,0.051929772
10.28571429,0.050629579
11.85714286,0.043956553
12.28571429,0.045255052
10,0.05247418
11.42857143,0.045503781
9.285714286,0.051022612
13,0.050807813
15.28571429,0.04375897
13.71428571,0.048041813
14.42857143,0.047081093
14.42857143,0.045210668
16.42857143,0.04835371
17,0.041895158
17.42857143,0.038832832
16.85714286,0.047267779
17,0.052279974
17.6,0.04609123
17.42857143,0.047903719
17.14285714,0.048158798
17.14285714,0.045759854
16.57142857,0.045073001
19,0.039359746
17.57142857,0.04544863
18,0.045352027
16.71428571,0.048306795
16,0.050501342
17.85714286,0.048992416
16,0.053613929
16.42857143,0.052448161
15.16666667,0.053121339
9,0.05694402
13.57142857,0.054844692
10.57142857,0.058704614
9.142857143,0.051641476
15,0.050869386
12.85714286,0.059617705
10.28571429,0.056979756
8.571428571,0.051726829
4.75,0.047690521
8.285714286,0.056120426
10.42857143,0.064774218
8.571428571,0.058785114
10.71428571,0.062433885
12.71428571,0.054828547
8.285714286,0.059655773
12.42857143,0.060731001
10.57142857,0.061281046
7.285714286,0.065471592
11.57142857,0.064248317
12.71428571,0.054323694
13.14285714,0.055796238
13.66666667,0.051136237
11,0.048476085
11,0.054145767
12,0.047308616
11.8,0.055091115
11,0.049271986
12.28571429,0.054419936
12,0.052110439
13.28571429,0.051602911
14,0.049702241
16.14285714,0.045312964
16.85714286,0.048767291
16.42857143,0.04296849
17.66666667,0.044211786
15.85714286,0.039266795
16.85714286,0.047723988
19.28571429,0.044226569
18.16666667,0.045437387
17.57142857,0.046752103
16.71428571,0.047315972
17.42857143,0.046737368
18.85714286,0.044096731
18.5,0.043829693
18,0.040683793
18.28571429,0.04542408
19.14285714,0.04605819
18,0.046705961
16.57142857,0.046806256
19.14285714,0.041115705
17,0.04721578
14.85714286,0.048779873
9,0.048233728
8.285714286,0.047704287
7.142857143,0.053250592
6,0.048070962
3,0.050758424
10.28571429,0.053396082
6.285714286,0.055862094
8.285714286,0.053608094
3.4,0.045635509
10,0.045482062
11,0.061718986
13.14285714,0.055879972
8,0.052693595
13,0.05511237
6.571428571,0.050749655
11.71428571,0.052364492
10,0.05407603
14,0.056482002
11,0.051735293
12.85714286,0.047262646
11,0.042122576
10.8,0.043588702
13.85714286,0.043454989
10.71428571,0.046720413
11.85714286,0.042311263
10.85714286,0.045392587
12.57142857,0.040372848
13.28571429,0.039226042
12.85714286,0.040425005
12.42857143,0.036724761
13.33333333,0.035341739
14.85714286,0.035000995
14,0.040394216
16.14285714,0.030490545
18.6,0.033005276
15.85714286,0.027892004
16.85714286,0.034992474
16.85714286,0.037654872
18.71428571,0.037550685
18,0.034914458
17.14285714,0.035862457
16.85714286,0.035790148
16.71428571,0.035531527
18.25,0.036897589
16.71428571,0.032861943
15.85714286,0.039810755
17,0.038807633
15,0.041522274
14.28571429,0.037978599
15.57142857,0.040511112
14.57142857,0.039367176
16.57142857,0.038926418
16.5,0.043225428
10.71428571,0.041662357
11.14285714,0.043120518
10.71428571,0.040063251
9.75,0.042155124
11.85714286,0.041912898
12.28571429,0.044477874
6.428571429,0.042078304
6.428571429,0.038511195
5,0.143386041
0.285714286,0.140634688
7.285714286,0.124769025
6.2,0.114177627
8.571428571,0.140872735
6.142857143,0.150175045
7.142857143,0.112001123
6.4,0.114299057
10.28571429,0.108383051
10.85714286,0.101101602
11.14285714,0.162886176
11.85714286,0.142541615
14,0.116056309
9.571428571,0.109635687
7.714285714,0.095051242
12,0.113975219
12.66666667,0.17146891
13.14285714,0.121652547
13.85714286,0.097525427
13.42857143,0.1123678
14.5,0.101421052
14,0.122713796
14.42857143,0.127117703
14.57142857,0.129002219
16.42857143,0.124539866
17,0.100047596
17.28571429,0.100726044
15.85714286,0.135718753
16.42857143,0.114860427
14.25,0.097387433
14.14285714,0.078150407
15.85714286,0.123353984
15.57142857,0.120450131
16.85714286,0.103158806
18.28571429,0.126326121
16.42857143,0.124653434
16.28571429,0.08918027
12.57142857,0.090146124
14.5,0.092265876
12.71428571,0.139151814
11.57142857,0.113453975
13.57142857,0.111360033
11.8,0.105975754
11.57142857,0.136135486
12.85714286,0.102412783
12,0.101567673
9.714285714,0.150154549
6.857142857,0.170328162
4.428571429,0.12450252
8.571428571,0.147019455
6,0.149981266
9.333333333,0.138487789
9.142857143,0.144465513
3.857142857,0.150181196
9.857142857,0.150260805
12,0.100910978
9,0.147105212
11.14285714,0.148210995
11.71428571,0.108113416
12.83333333,0.115142336
12.28571429,0.117777438
11.57142857,0.097225918
12.14285714,0.149885588
11.71428571,0.140362648
11,0.16126975
10.28571429,0.127361133
11.85714286,0.113755239
12.28571429,0.1516599
10,0.125686026
11.42857143,0.080740184
9.285714286,0.099231351
13,0.097197072
15.28571429,0.095381958
13.71428571,0.134272913
14.42857143,0.104693102
14.42857143,0.10329863
16.42857143,0.111256116
17,0.100444457
17.42857143,0.110846672
16.85714286,0.106890688
17,0.09561623
17.6,0.100455877
17.42857143,0.097730837
17.14285714,0.099991786
17.14285714,0.094110673
16.57142857,0.11037367
19,0.106627492
17.57142857,0.100024157
18,0.098221088
16.71428571,0.092997243
16,0.087539355
17.85714286,0.105086512
