 Average of  Max VisibilityKm ,Volume Share of Category
16,0.048795999
16,0.061189137
16,0.06590841
16,0.067562948
15.28571429,0.053593443
16,0.066669919
16,0.065996175
16,0.065082988
16,0.057282368
15.14285714,0.062322435
15.71428571,0.05342817
16,0.056951536
16,0.046904701
16,0.0547344
16,0.059111999
16,0.056537442
15,0.052751468
15.71428571,0.045443609
16,0.04627586
16,0.054291721
16,0.044319945
16,0.051159364
16,0.049027228
16,0.046218085
16,0.050484014
16,0.043093045
16,0.035243396
16,0.048003048
16,0.046629879
16,0.048430197
16,0.047122459
15.28571429,0.049169749
16,0.050981316
16,0.050397231
16,0.042740773
16,0.051403259
16,0.044919017
16,0.054903639
16,0.048839849
16,0.05318462
16,0.054391875
15.14285714,0.05395394
16,0.053722686
16,0.053639937
16,0.056670954
16,0.056583395
16,0.053300212
16,0.059291198
15.71428571,0.064995549
16,0.056873375
15.14285714,0.048112425
16,0.050557541
16,0.046605486
15.71428571,0.062643528
15.71428571,0.057423504
14.33333333,0.062548519
16,0.053611158
16,0.065986346
16,0.048155762
16,0.050662541
16,0.063957555
16,0.059625126
16,0.050721636
16,0.048795396
16,0.051929772
16,0.050629579
16,0.043956553
16,0.045255052
16,0.05247418
16,0.045503781
16,0.051022612
16,0.050807813
16,0.04375897
16,0.048041813
16,0.047081093
16,0.045210668
16,0.04835371
16,0.041895158
16,0.038832832
16,0.047267779
16,0.052279974
16,0.04609123
16,0.047903719
16,0.048158798
16,0.045759854
16,0.045073001
16,0.039359746
16,0.04544863
16,0.045352027
16,0.048306795
16,0.050501342
16,0.048992416
16,0.053613929
16,0.052448161
16,0.053121339
16,0.05694402
16,0.054844692
16,0.058704614
16,0.051641476
16,0.050869386
16,0.059617705
16,0.056979756
15.57142857,0.051726829
16,0.047690521
15.28571429,0.056120426
15.28571429,0.064774218
14.28571429,0.058785114
16,0.062433885
13.14285714,0.054828547
16,0.059655773
14,0.060731001
16,0.061281046
16,0.065471592
15.14285714,0.064248317
15.71428571,0.054323694
16,0.055796238
16,0.051136237
16,0.048476085
16,0.054145767
16,0.047308616
16,0.055091115
16,0.049271986
16,0.054419936
16,0.052110439
16,0.051602911
16,0.049702241
16,0.045312964
16,0.048767291
16,0.04296849
16,0.044211786
16,0.039266795
16,0.047723988
16,0.044226569
16,0.045437387
16,0.046752103
16,0.047315972
16,0.046737368
16,0.044096731
16,0.043829693
16,0.040683793
16,0.04542408
16,0.04605819
16,0.046705961
16,0.046806256
16,0.041115705
16,0.04721578
16,0.048779873
16,0.048233728
16,0.047704287
16,0.053250592
16,0.048070962
16,0.050758424
16,0.053396082
16,0.055862094
16,0.053608094
16,0.045635509
16,0.045482062
16,0.061718986
15.28571429,0.055879972
16,0.052693595
16,0.05511237
16,0.050749655
16,0.052364492
16,0.05407603
14.5,0.056482002
16,0.051735293
15.57142857,0.047262646
16,0.042122576
16,0.043588702
16,0.043454989
16,0.046720413
16,0.042311263
16,0.045392587
16,0.040372848
16,0.039226042
16,0.040425005
16,0.036724761
16,0.035341739
16,0.035000995
16,0.040394216
16,0.030490545
15.6,0.033005276
16,0.027892004
16,0.034992474
16,0.037654872
16,0.037550685
16,0.034914458
16,0.035862457
16,0.035790148
16,0.035531527
16,0.036897589
16,0.032861943
16,0.039810755
16,0.038807633
16,0.041522274
16,0.037978599
16,0.040511112
16,0.039367176
16,0.038926418
16,0.043225428
16,0.041662357
16,0.043120518
16,0.040063251
16,0.042155124
16,0.041912898
14.42857143,0.044477874
16,0.042078304
16,0.038511195
16,0.143386041
16,0.140634688
16,0.124769025
16,0.114177627
15.28571429,0.140872735
16,0.150175045
16,0.112001123
16,0.114299057
16,0.108383051
15.14285714,0.101101602
15.71428571,0.162886176
16,0.142541615
16,0.116056309
16,0.109635687
16,0.095051242
16,0.113975219
15,0.17146891
15.71428571,0.121652547
16,0.097525427
16,0.1123678
16,0.101421052
16,0.122713796
16,0.127117703
16,0.129002219
16,0.124539866
16,0.100047596
16,0.100726044
16,0.135718753
16,0.114860427
16,0.097387433
16,0.078150407
15.28571429,0.123353984
16,0.120450131
16,0.103158806
16,0.126326121
16,0.124653434
16,0.08918027
16,0.090146124
16,0.092265876
16,0.139151814
16,0.113453975
15.14285714,0.111360033
16,0.105975754
16,0.136135486
16,0.102412783
16,0.101567673
16,0.150154549
16,0.170328162
15.71428571,0.12450252
16,0.147019455
15.14285714,0.149981266
16,0.138487789
16,0.144465513
15.71428571,0.150181196
15.71428571,0.150260805
14.33333333,0.100910978
16,0.147105212
16,0.148210995
16,0.108113416
16,0.115142336
16,0.117777438
16,0.097225918
16,0.149885588
16,0.140362648
