 Average of Dew PointC ,Unit Sales
5,1817
0.285714286,1726
7.285714286,2088
6.2,2048
8.571428571,2231
6.142857143,2265
7.142857143,2199
6.4,2095
10.28571429,1997
10.85714286,2000
11.14285714,2079
11.85714286,2125
14,2033
9.571428571,2114
7.714285714,2210
12,2280
12.66666667,2139
13.14285714,2046
13.85714286,1948
13.42857143,2269
14.5,2304
14,2428
14.42857143,2053
14.57142857,2227
16.42857143,2265
17,2157
17.28571429,2511
15.85714286,2054
16.42857143,1999
14.25,2068
14.14285714,2080
15.85714286,2153
15.57142857,2203
16.85714286,2160
18.28571429,2341
16.42857143,2505
16.28571429,2154
12.57142857,2115
14.5,1890
12.71428571,2113
11.57142857,2026
13.57142857,2070
11.8,2025
11.57142857,2001
12.85714286,1989
12,2019
9.714285714,2000
6.857142857,2840
4.428571429,1765
8.571428571,1867
6,2145
9.333333333,2708
9.142857143,1853
3.857142857,1908
9.857142857,2036
12,1977
9,2290
11.14285714,2134
11.71428571,1645
12.83333333,1728
12.28571429,1954
11.57142857,2115
12.14285714,2013
11.71428571,1857
11,1925
10.28571429,1943
11.85714286,1894
12.28571429,2109
10,2080
11.42857143,2236
9.285714286,2158
13,2274
15.28571429,2211
13.71428571,2165
14.42857143,2065
14.42857143,2218
16.42857143,2174
17,1999
17.42857143,2813
16.85714286,2146
17,2230
17.6,2097
17.42857143,2192
17.14285714,2143
17.14285714,2054
16.57142857,1987
19,2310
17.57142857,2158
18,2105
16.71428571,2007
16,2043
17.85714286,2100
16,2181
16.42857143,2016
15.16666667,2101
9,2319
13.57142857,2029
10.57142857,2054
9.142857143,2119
15,2693
12.85714286,1820
10.28571429,1894
8.571428571,2028
4.75,2445
8.285714286,2490
10.42857143,1844
8.571428571,1919
10.71428571,2011
12.71428571,2480
8.285714286,2122
12.42857143,2218
10.57142857,2053
7.285714286,2059
11.57142857,2260
12.71428571,2409
13.14285714,2261
13.66666667,2117
11,2285
11,2154
12,1972
11.8,2090
11,2651
12.28571429,2028
12,1939
13.28571429,2431
14,2239
16.14285714,1972
16.85714286,2204
16.42857143,2267
17.66666667,2102
15.85714286,2812
16.85714286,2064
19.28571429,2000
18.16666667,2163
17.57142857,2206
16.71428571,2120
17.42857143,2204
18.85714286,1989
18.5,2064
18,2305
18.28571429,2241
19.14285714,2005
18,2079
16.57142857,1979
19.14285714,1857
17,1916
14.85714286,1977
9,2155
8.285714286,1710
7.142857143,1902
6,1981
3,2473
10.28571429,1647
6.285714286,1818
8.285714286,1863
3.4,2226
10,2121
11,1674
13.14285714,1733
8,1690
13,1805
6.571428571,2332
11.71428571,2057
10,1837
14,2000
11,1809
12.85714286,1602
11,1649
10.8,1808
13.85714286,1642
10.71428571,1601
11.85714286,1686
10.85714286,1824
12.57142857,1514
13.28571429,1570
12.85714286,1591
12.42857143,1394
13.33333333,1748
14.85714286,1610
14,1650
16.14285714,1550
18.6,1546
15.85714286,1765
16.85714286,1762
16.85714286,1650
18.71428571,1741
18,1614
17.14285714,1602
16.85714286,1625
16.71428571,1606
18.25,1596
16.71428571,1745
15.85714286,1744
17,1615
15,1730
14.28571429,1619
15.57142857,1650
14.57142857,1527
16.57142857,1583
16.5,1758
10.71428571,1656
11.14285714,1741
10.71428571,1596
9.75,2119
11.85714286,1282
12.28571429,1425
6.428571429,1454
6.428571429,1926
5,2491
0.285714286,1851
7.285714286,1844
6.2,1615
8.571428571,2736
6.142857143,2380
7.142857143,1741
6.4,1716
10.28571429,1763
10.85714286,1514
11.14285714,2958
11.85714286,2482
14,2347
9.571428571,1976
7.714285714,1658
12,2145
12.66666667,3244
13.14285714,2556
13.85714286,1915
13.42857143,2191
14.5,2460
14,2717
14.42857143,2484
14.57142857,2901
16.42857143,2607
17,2337
17.28571429,3348
15.85714286,2709
16.42857143,2298
14.25,1940
14.14285714,1609
15.85714286,2520
15.57142857,2428
16.85714286,2063
18.28571429,3229
16.42857143,2834
16.28571429,1995
12.57142857,1620
14.5,1666
12.71428571,2579
11.57142857,1972
13.57142857,1994
11.8,1864
11.57142857,2370
12.85714286,1677
12,1691
9.714285714,2629
6.857142857,3807
4.428571429,1578
8.571428571,2252
6,3120
9.333333333,3461
9.142857143,2680
3.857142857,2134
9.857142857,2486
12,1488
9,2932
11.14285714,2237
11.71428571,1723
12.83333333,1832
12.28571429,1679
11.57142857,1609
12.14285714,2776
11.71428571,2493
